cell,expt,isi,n_pulses,pulse_width,rep,spikes,type
19,pinp,NaN,NaN,20,8,1467.26666666609,pulse
19,pinp,NaN,NaN,20,8,1471.5333333329,pulse
19,pinp,NaN,NaN,20,9,-396.600000002309,pulse
19,pinp,NaN,NaN,20,9,667.49999999729,pulse
19,pinp,NaN,NaN,20,9,993.199999997614,pulse
19,pinp,NaN,NaN,20,9,1185.36666666432,pulse
19,pinp,NaN,NaN,20,9,1545.89999999735,pulse
19,pinp,NaN,NaN,20,10,12.1333333322582,pulse
19,pinp,NaN,NaN,20,10,719.333333332088,pulse
19,pinp,NaN,NaN,20,11,1074.76666666344,pulse
19,pinp,NaN,NaN,20,11,1443.46666666343,pulse
19,pinp,NaN,NaN,20,11,1488.99999999685,pulse
19,pinp,NaN,NaN,20,11,1655.13333333001,pulse
19,pinp,NaN,NaN,20,12,-574.233333336451,pulse
19,pinp,NaN,NaN,20,12,-86.7333333362694,pulse
19,pinp,NaN,NaN,20,12,17.5666666636971,pulse
19,pinp,NaN,NaN,20,12,869.499999997061,pulse
19,pinp,NaN,NaN,20,12,1282.06666666347,pulse
19,pinp,NaN,NaN,20,13,-424.13333332388,pulse
19,pinp,NaN,NaN,20,13,270.900000009533,pulse
19,pinp,NaN,NaN,20,13,271.833333342784,pulse
19,pinp,NaN,NaN,20,13,673.300000009476,pulse
19,pinp,NaN,NaN,20,13,1662.10000000956,pulse
19,pinp,NaN,NaN,20,13,1786.10000000936,pulse
19,pinp,NaN,NaN,20,14,-561.933333337038,pulse
19,pinp,NaN,NaN,20,14,-437.933333337241,pulse
19,pinp,NaN,NaN,20,14,6.99999999642387,pulse
19,pinp,NaN,NaN,20,14,197.166666662724,pulse
19,pinp,NaN,NaN,20,14,620.566666662853,pulse
19,pinp,NaN,NaN,20,14,640.333333329636,pulse
19,pinp,NaN,NaN,20,14,1053.03333332949,pulse
19,pinp,NaN,NaN,20,14,1084.23333332939,pulse
19,pinp,NaN,NaN,20,14,1255.86666666277,pulse
19,pinp,NaN,NaN,20,15,163.500000001477,pulse
19,pinp,NaN,NaN,20,15,203.766666668344,pulse
