spikes,icis,rep
375.83333333343,64,7
661.000000000116,64,7
681.766666666779,64,7
714.233333333454,64,7
1070.7000000001,64,7
1399.40000000011,64,7
1660.90000000011,64,7
1772.90000000011,64,7
2020.23333333342,64,7
2033.5666666668,64,7
2035.06666666677,64,7
2098.33333333343,64,7
2237.63333333342,64,7
2251.46666666676,64,7
2309.63333333345,64,7
2467.73333333345,64,7
2577.8000000001,64,7
2673.10000000012,64,7
2752.0666666668,64,7
2785.50000000012,64,7
2898.3000000001,64,7
2921.26666666678,64,7
-922.533333333296,128,7
-737.799999999959,128,7
-598.499999999971,128,7
-588.266666666634,128,7
-449.966666666616,128,7
-441.733333333308,128,7
-433.399999999965,128,7
-429.399999999936,128,7
-285.399999999965,128,7
-246.533333333296,128,7
54.7000000000407,128,7
79.2000000000116,128,7
240.233333333366,128,7
393.066666666709,128,7
460.100000000035,128,7
528.866666666698,128,7
1082.30000000005,128,7
1148.43333333338,128,7
1258.83333333337,128,7
1374.70000000004,128,7
1676.83333333337,128,7
1967.26666666669,128,7
2698.23333333337,128,7
2851.73333333337,128,7
-909.333333333227,256,7
-840.466666666587,256,7
-573.799999999901,256,7
-345.066666666564,256,7
-296.099999999889,256,7
109.600000000093,256,7
216.533333333442,256,7
494.733333333425,256,7
545.066666666768,256,7
557.233333333425,256,7
822.700000000099,256,7
912.600000000093,256,7
918.700000000099,256,7
1033.10000000009,256,7
1142.10000000009,256,7
1872.40000000011,256,7
2217.33333333343,256,7
2348.23333333342,256,7
2472.40000000011,256,7
-731.433333333407,1,8
-710.500000000058,1,8
-685.933333333407,1,8
-175.333333333401,1,8
-96.2666666667501,1,8
33.7666666665755,1,8
169.433333333262,1,8
207.566666666593,1,8
1789.63333333327,1,8
2190.36666666661,1,8
2419.39999999994,1,8
2638.03333333327,1,8
2670.49999999994,1,8
2863.39999999991,1,8
-896.333333333285,2,8
-874.033333333296,2,8
-800.399999999965,2,8
-196.899999999965,2,8
1791.53333333335,2,8
1902.83333333334,2,8
2058.9666666667,2,8
2082.20000000004,2,8
