spikes,type,rep,pulse_width,isi,n_pulses,expt,cell
1345.03333333333,train,11,10,100,10,pinp,1
-166.233333333338,train,12,10,100,10,pinp,1
-105.866666666685,train,12,10,100,10,pinp,1
-95.6999999999937,train,12,10,100,10,pinp,1
83.4666666666521,train,12,10,100,10,pinp,1
199.399999999997,train,12,10,100,10,pinp,1
326.633333333319,train,12,10,100,10,pinp,1
597.533333333331,train,12,10,100,10,pinp,1
889.966666666652,train,12,10,100,10,pinp,1
1761.66666666666,train,12,10,100,10,pinp,1
-542.300000000012,train,13,10,100,10,pinp,1
-460.033333333342,train,13,10,100,10,pinp,1
-149.966666666671,train,13,10,100,10,pinp,1
88.9999999999986,train,13,10,100,10,pinp,1
173.966666666644,train,13,10,100,10,pinp,1
789.233333333328,train,13,10,100,10,pinp,1
957.499999999982,train,13,10,100,10,pinp,1
1209.99999999998,train,13,10,100,10,pinp,1
2.36666666668839,train,14,10,100,10,pinp,1
274.200000000008,train,14,10,100,10,pinp,1
432.700000000011,train,14,10,100,10,pinp,1
446.566666666683,train,14,10,100,10,pinp,1
483.766666666668,train,14,10,100,10,pinp,1
1096.10000000001,train,14,10,100,10,pinp,1
